Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,00001,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,,ORDERS,,Bestellung,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,00001,ORDERS,,Bestellung,X,
Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,00001,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,,09B,,Ausgabe 2009 - B,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,00001,09B,,Ausgabe 2009 - B,X,
Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,00001,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,,1.2b,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,00001,1.3,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
Beginn der Nachricht,7,,BGM,,,,,,Muss,,,Beginn der Nachricht,7,,BGM,,00002,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,7,,Prozessdatenbericht,X,,,Beginn der Nachricht,8,,BGM,1001,00002,7,,Prozessdatenbericht,X,
Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,,,Beginn der Nachricht,9,,BGM,1004,00002,,,Dokumentennummer,X,
Nachrichtendatum,10,,DTM,,,,,,Muss,,,Nachrichtendatum,10,,DTM,,00003,,,,Muss,
Nachrichtendatum,11,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,11,,DTM,2005,00003,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Nachrichtendatum,12,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",,Nachrichtendatum,12,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00"
Nachrichtendatum,13,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,13,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,
Produkt-/ Leistungsbeschreibung,14,,IMD,,,,,,Muss,,,Produkt-/ Leistungsbeschreibung,14,,IMD,,00009,,,,Muss,
Produkt-/ Leistungsbeschreibung,15,,IMD,7081,,Z13,,Werteermittlung,X,,,Produkt-/ Leistungsbeschreibung,15,,IMD,7081,00009,Z13,,Werteermittlung,X,
Prüfidentifikator,16,SG1,,,,,,,Muss,,,Prüfidentifikator,16,SG1,,,,,,,Muss,
Prüfidentifikator,17,SG1,RFF,,,,,,Muss,,,Prüfidentifikator,17,SG1,RFF,,00019,,,,Muss,
Prüfidentifikator,18,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,18,SG1,RFF,1153,00019,Z13,,Prüfidentifikator,X,
Prüfidentifikator,19,SG1,RFF,1154,,17004,,Anforderung Messwerte,X,,,Prüfidentifikator,19,SG1,RFF,1154,00019,17004,,Anforderung Messwerte,X,
MP-ID Absender,20,SG2,,,,,,,Muss,,,MP-ID Absender,20,SG2,,,,,,,Muss,
MP-ID Absender,21,SG2,NAD,,,,,,Muss,,,MP-ID Absender,21,SG2,NAD,,00020,,,,Muss,
MP-ID Absender,22,SG2,NAD,3035,,Nachrichtenaussteller bzw. -absender,,,MS,,,MP-ID Absender,22,SG2,NAD,3035,00020,Nachrichtenaussteller bzw. -absender,,,MS,
MP-ID Absender,23,SG2,NAD,3039,,,,MP-ID,X,,,MP-ID Absender,23,SG2,NAD,3039,00020,,,MP-ID,X,
MP-ID Absender,24,SG2,NAD,3055,,9,,GS1,X,,,MP-ID Absender,24,SG2,NAD,3055,00020,9,,GS1,X,
MP-ID Absender,25,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,MP-ID Absender,25,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
MP-ID Absender,26,SG2,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,,,MP-ID Absender,26,SG2,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
Ansprechpartner,27,SG5,,,,,,,Kann,,,Ansprechpartner,27,SG5,,,,,,,Kann,
Ansprechpartner,28,SG5,CTA,,,,,,Muss,,,Ansprechpartner,28,SG5,CTA,,00021,,,,Muss,
Ansprechpartner,29,SG5,CTA,3139,,,,,IC,,,Ansprechpartner,29,SG5,CTA,3139,00021,,,,IC,
Ansprechpartner,30,SG5,CTA,3412,,,,Kontakt,X,,,Ansprechpartner,30,SG5,CTA,3412,00021,,,Kontakt,X,
Kommunikationsverbindung,31,SG5,COM,,,,,,Muss,,,Kommunikationsverbindung,31,SG5,COM,,00022,,,,Muss,
Kommunikationsverbindung,32,SG5,COM,3148,,,,"Kommunikationsadresse, Identifikation",X,,,Kommunikationsverbindung,32,SG5,COM,3148,00022,,,"Kommunikationsadresse, Identifikation",X,
Kommunikationsverbindung,33,SG5,COM,3155,,EM,,Elektronische Post,X [1P0..1],,,Kommunikationsverbindung,33,SG5,COM,3155,00022,EM,,Elektronische Post,X [1P0..1],
Kommunikationsverbindung,34,SG5,COM,3155,,FX,,Telefax,X [1P0..1],,,Kommunikationsverbindung,34,SG5,COM,3155,,FX,,Telefax,X [1P0..1],
Kommunikationsverbindung,35,SG5,COM,3155,,TE,,Telefon,X [1P0..1],,,Kommunikationsverbindung,35,SG5,COM,3155,,TE,,Telefon,X [1P0..1],
Kommunikationsverbindung,36,SG5,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,,Kommunikationsverbindung,36,SG5,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
Kommunikationsverbindung,37,SG5,COM,3155,,AL,,Handy,X [1P0..1],,,Kommunikationsverbindung,37,SG5,COM,3155,,AL,,Handy,X [1P0..1],
MP-ID Empfänger,38,SG2,,,,,,,Muss,,,MP-ID Empfänger,38,SG2,,,,,,,Muss,
MP-ID Empfänger,39,SG2,NAD,,,,,,Muss,,,MP-ID Empfänger,39,SG2,NAD,,00023,,,,Muss,
